iso1;iso2;group;community
-23,69528;7,059593;0;0
-24,07696;7,266696;0;0
-23,96899;6,973504;0;0
-24,42649;7,206352;0;0
-24,36517;7,414;0;0
-24,40605;7,60552;0;0
-23,67503;6,897904;0;0
-23,9943;7,042048;0;0
-24,31552;6,86464;0;0
-24,73311;7,022896;0;0
-24,00501;7,074304;0;0
-24,18119;7,465408;0;0
-24,54427;8,01376;0;0
-24,20164;7,339408;0;0
-24,40897;7,94824;0;0
-23,90183;8,364544;0;0
-24,1189;7,143856;0;0
-24,00306;6,812224;0;0
-24,37198;7,039024;0;0
-24,6849;7,408058;0;0
-24,69561;7,507822;0;0
-24,829;6,958102;0;0
-24,79395;7,098586;0;0
-24,57586;7,514948;0;0
-24,28767;7,9364;0;0
-23,98294;9,03584;0;0
-23,51074;7,2747;0;0
-23,72493;7,619802;0;0
-23,65191;7,35614;0;0
-24,18739;7,747052;0;0
-23,84663;8,118622;0;0
-23,90894;7,906878;0;0
-23,50782;7,098586;0;0
-23,93426;7,227872;0;0
-24,07932;7,390752;0;0
-24,11535;7,399914;0;0
-23,77751;7,242124;0;0
-24,56515;6,80133;0;0
-24,59338;6,73007;0;0
-24,5856;6,75043;0;0
-24,59533;7,23907;0;0
-24,3938;6,65372;0;0
-24,16013;6,559046;0;0
-24,38114;6,418562;0;0
-24,53789;6,611982;0;0
-24,51647;6,662882;0;0
-24,54568;6,655756;0;0
-24,1504;6,884806;0;0
-24,26528;6,741268;0;0
-23,99949;6,588568;0;0
-24,31591;7,017146;0;0
-24,34122;7,097568;0;0
-23,93328;6,936724;0;0
-23,91089;6,95912;0;0
-24,39964;7,424346;0;0
-24,51258;8,013768;0;0
-24,10658;7,906878;0;0
-24,48824;6,647612;0;0
-24,70827;7,460994;0;0
-24,76376;7,21362;0;0
-24,52036;7,382608;0;0
-24,34998;7,536326;0;0
-23,89337;7,322546;0;0
-23,85734;7,220746;0;0
-24,13385;6,84205;0;0
-24,202;6,950976;0;0
-23,73272;7,180026;0;0
-24,22536;7,285898;0;0
-24,12411;6,505092;0;0
-24,14066;6,8166;0;0
-24,15721;6,810492;0;0
-24,26139;6,921454;0;0
-24,64304;7,321528;0;0
-24,28865;6,795222;0;0
-24,10172;6,817618;0;0
-24,20394;7,092478;0;0
-23,89726;6,901094;0;0
-24,22731;7,164756;0;0
-24,28378;7,455904;0;0
-25,30703;7,699206;0;0
-25,20091;7,801006;0;0
-24,42398;8,132874;0;0
-24,64791;7,84478;0;0
-24,43956;8,248926;0;0
-24,49895;8,133892;0;0
-24,63233;8,069758;0;0
-24,38309;8,300844;0;0
-23,96249;8,443364;0;0
-23,21185;7,709386;0;0
-23,30142;8,312042;0;0
-23,69528;7,059593;1;1
-24,07696;7,266696;1;1
-23,96899;6,973504;1;1
-24,42649;7,206352;1;1
-24,36517;7,414;1;1
-24,40605;7,60552;1;1
-23,67503;6,897904;2;2
-23,9943;7,042048;2;2
-24,31552;6,86464;2;2
-24,73311;7,022896;2;2
-24,00501;7,074304;2;2
-24,18119;7,465408;3;3
-24,54427;8,01376;3;3
-24,20164;7,339408;3;3
-24,40897;7,94824;3;3
-23,90183;8,364544;3;3
-24,1189;7,143856;4;4
-24,00306;6,812224;4;4
-24,37198;7,039024;4;4
-24,6849;7,408058;4;4
-24,69561;7,507822;4;4
-24,829;6,958102;5;5
-24,79395;7,098586;5;5
-24,57586;7,514948;5;5
-24,28767;7,9364;5;5
-23,98294;9,03584;5;5
-23,51074;7,2747;6;6
-23,72493;7,619802;6;6
-23,65191;7,35614;6;6
-24,18739;7,747052;6;6
-23,84663;8,118622;6;6
-23,90894;7,906878;6;6
-23,50782;7,098586;7;7
-23,93426;7,227872;7;7
-24,07932;7,390752;7;7
-24,11535;7,399914;7;7
-23,77751;7,242124;7;7
-24,56515;6,80133;8;8
-24,59338;6,73007;8;8
-24,5856;6,75043;8;8
-24,59533;7,23907;8;8
-24,3938;6,65372;8;8
-24,16013;6,559046;9;9
-24,38114;6,418562;9;9
-24,53789;6,611982;9;9
-24,51647;6,662882;9;9
-24,54568;6,655756;9;9
-24,1504;6,884806;10;10
-24,26528;6,741268;10;10
-23,99949;6,588568;10;10
-24,31591;7,017146;10;10
-24,34122;7,097568;10;10
-23,93328;6,936724;11;11
-23,91089;6,95912;11;11
-24,39964;7,424346;11;11
-24,51258;8,013768;11;11
-24,10658;7,906878;11;11
-24,48824;6,647612;12;12
-24,70827;7,460994;12;12
-24,76376;7,21362;12;12
-24,52036;7,382608;12;12
-24,34998;7,536326;12;12
-23,89337;7,322546;13;13
-23,85734;7,220746;13;13
-24,13385;6,84205;13;13
-24,202;6,950976;13;13
-23,73272;7,180026;13;13
-24,22536;7,285898;13;13
-24,12411;6,505092;14;14
-24,14066;6,8166;14;14
-24,15721;6,810492;14;14
-24,26139;6,921454;14;14
-24,64304;7,321528;14;14
-24,28865;6,795222;15;15
-24,10172;6,817618;15;15
-24,20394;7,092478;15;15
-23,89726;6,901094;15;15
-24,22731;7,164756;15;15
-24,28378;7,455904;15;15
-25,30703;7,699206;16;16
-25,20091;7,801006;16;16
-24,42398;8,132874;16;16
-24,64791;7,84478;16;16
-24,43956;8,248926;16;16
-24,49895;8,133892;17;17
-24,63233;8,069758;17;17
-24,38309;8,300844;17;17
-23,96249;8,443364;17;17
-23,21185;7,709386;17;17
-23,30142;8,312042;17;17
